Künstler;Familie;Share;Bamboo Breath;Airy Flute;Overblown;Flute Phrase;Night Flute;Shakuhachi;Night Owl;Distant Howl;Singing Bowl;Rim Rub;Deep Bowl;Bowl Beating;Bowl Phrase;Cave Drops;Cistern;Wet Marimba;Steady Drip;Rain In A Bowl;Sonar Ping;Echo Sounder;Deep Sonar;Foghorn;Whistler;Seed Pod;Geiger Counter;Bunker Tube;Krell Circuit;Deep Space Beacon;Number Station;Shortwave Dial;Ting-Sha;Ship's Bell;Church Bell Far;Wind Chimes;Quiet, Please;Night Announcer;Whisper At The Ear;Lost Transmission;Radio Cut-Up;Edison Cylinder;Variety Stage;Screening Room;New York, 1950s;Interview;Cylinder Cut-Up;Radio Murmur;Ground Control;Whisper Close;Far Chatter;Low Voice;Ice Shift;Old Wood;Glacier;Hull Strain;E-Bow Glide;Lap Steel Cry;Cello Under;Koto;Harp Touch;Phaedra;Rubycon;Gamelan Line;Koto Line;Vocal Pulse;Subterranean Pulse;Glass Balafon;Glass Pluck;Beating Bell;Machine Pulse;Flute Line;Bowl Line;Ice Steps;Bowed Line;Harmonic Pulse;Wavetable Run;Drop Sequence;Tuned Noise;Slow Cathedral;Heartbeat;Houston, We've Had a Problem;The Eagle Has Landed;One Small Step;Merry Christmas from Apollo 8;Godspeed, John Glenn;Fireflies;We Choose the Moon;Roger Roll;Go at Throttle Up;Nice to Be in Orbit;Houston, Discovery;Dust It Off First;Quindar;Sputnik;Chorus;Saturn Radio;Enceladus;Jupiter Lightning;Kepler Star;Wind on Mars;Ingenuity;Dust Devil;Laser on Mars;Marsquake;Dinks and Donks;Ganymede;Cosmic Cliffs;Southern Ring
Vidna Obmana;sleep;0.6;2G;2G;2G;1G;2G;1G;;;1S;1S;1S;1S;1S;2G;2G;2G;2G;2G;;;;;;1G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;2G;2G;;;2G;2G;;;2G;;2G;;2G;2G;2G;2G;;;2G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lustmord;deep;0.35;;;;;;;;;;;;;;2G;2G;2G;2G;2G;1S;1S;1S;1S;;;1S;1S;;;;;;;1S;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;
Sleep Research Facility;deep;0.35;;;;;;;;;;;;;;;;;;;2G;2G;2G;1G;;;1G;2G;;;;1S;;;;;1S;1S;1S;1S;1S;;;;;;;;;;;;1S;1S;1S;1S;;;;;;;;;;;3H;;;;3H;;;;;;;;;;3H;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;
Inade;deep;0.35;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;1S;1S;1S;1S;;;;2G;2G;1G;;;;;;;;;;;;;1G;1G;1G;1G;1G;1S;1S;1S;1S;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kammarheit;deep;0.35;;;;;;;;;;;;;;2G;2G;2G;2G;2G;1S;1S;1S;;;;;1S;;;;;;;1S;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;;;
Gustaf Hildebrand;deep;0.35;;;;;;;;;;;;;;1G;1G;1G;1G;1G;1S;1S;1S;1G;;;;;;;;;;;1G;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;1S;1S;1S;;;1S;1S;;;;1G;;1S;;1G;;;;;1S;1S;;;1S;1G;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;1S;;
Atomine Elektrine;deep;0.35;;;;;;;;;;;;;;;;;;;;;;;2G;;;;1G;2G;1S;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;;;;1S;;1S;;1S;;;;;1S;1S;;;1S;1S;;;;;;;;;;;;;;;2G;2G;2G;2G;2G;1S;1S;1S;1S;1S;1S;2G;1G;1G
Arecibo;deep;0.55;;;;;;;;;;;;;;;;;;;1S;1S;1S;;2G;;1G;;1S;3H;2G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;2G;2G;3H;3H;3H;3H;3H;;;;;;;3H;2G;2G
Tho-So-Aa;deep;0.35;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;1S;1G;1G;;;;;;;1S;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulf Söderberg;deep;0.35;;;;;;;1S;1S;;;;;;2G;2G;2G;2G;2G;;;;1S;;;;;;;;;1S;1S;1G;;;;;;;;;;;;;1S;1S;1S;1S;1S;1G;1G;1G;1G;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moljebka Pvlse;deep;0.35;;;;;;;;;;;;;;;;;;;;;;;;1S;1G;1G;;;;1S;1S;1S;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1G;1G;1G;1G;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apoptose;deep;0.35;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;1G;;1S;;;;;2G;2G;;;;;;;;1S;1S;1S;1S;1S;1S;1G;1G;1G;1G;1G;1S;1S;1S;1S;;;;;;;;;;;1G;;;;1G;;;;;;;;;;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land:Fire;deep;0.35;;;;;;;;;;;;;;;;;;;;;;;;1S;1G;1G;;;;1S;;;1S;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polygon;deep;0.35;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;;;;;1S;;;;;;;1S;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;;;;;;;;;;;1G;;;;1G;;;;;;;;;;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raison d'Être;ritual;0.4;;;;;;;1S;1S;1G;1G;1G;1G;1G;2G;2G;2G;2G;2G;;;;;;;;;;;;;2G;2G;2G;;;;;;;1S;1S;1S;1S;1S;1S;2G;2G;2G;2G;2G;1S;1S;1S;1S;;;;;;;;;;1S;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutsch Nepal;ritual;0.4;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;1G;1G;1S;;1G;1G;1G;1G;1G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;;;;;;;;;;;;;;;2G;;;;2G;;;;;;;;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Troum;ritual;0.4;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;1S;;;;;;;1G;1G;;;1S;1S;1S;1S;1S;2G;2G;2G;2G;2G;2G;1G;1G;1G;1G;1G;1S;1S;1S;1S;1G;1G;1G;;;;;;;;;;;;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere;cold;0.4;;;;;;;;;;;;;;1G;1G;1G;1G;1G;1G;1G;1G;;1G;;;;;;1S;1G;1S;1S;;;2G;2G;2G;2G;2G;1G;1G;1G;1G;1G;1G;1S;1S;1S;1S;1S;3H;3H;3H;3H;;;;1G;1G;1S;1S;1G;1G;;;1G;1S;1G;;;;;;1S;1S;;;1S;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;
Thomas Köner;cold;0.3;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1G;;;;;;;;1S;;;2G;;;;;;;;;;;;;;;;;;3H;3H;3H;3H;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;;;
Loscil;cold;0.25;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;1S;1S;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1G;1G;1G;1G;1G;1S;1S;1G;1G;;1S;1G;1S;1G;1S;;;;;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJNilsen;cold;0.25;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;1S;1G;1S;1G;1G;;;1S;2G;;;1S;;;;;;;;;;;;;;;;;;2G;2G;2G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;;;
Hazard;cold;0.25;;;;;;;;;;;;;;;;;;;1S;1S;1S;;1G;;2G;2G;;1S;1G;2G;;;;;;;;;;;;;;;;;;;;;1G;1G;1G;1G;;;;;;;;;;;1G;;;;1G;;;;;;;;;;1G;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;;;
Paul Bradley;cold;0.05;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisco López;cold;0.12;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chris Watson;cold;0.2;;;;;;;1G;1G;;;;;;2G;2G;2G;2G;2G;;;;;;1G;1S;;;;;;;;;1S;;;;;;;;;;;;;;;;;2G;2G;2G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;1S;1S;1S;;;
Bass Communion;cold;0.25;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;1S;;;;;;;;1S;1S;;;1G;1G;1G;1G;1G;1G;1G;1G;1G;1G;1G;1S;1S;1S;1S;1S;1S;1S;1S;1S;2G;2G;2G;;;;;1S;1S;;;1S;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Chalk;brit;0.2;1S;1S;1S;;1S;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;1S;1S;;1G;;;;;;1S;1S;1S;1S;1S;1S;;;;;;;;;;2G;2G;2G;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jonathan Coleclough;brit;0.2;;;;;;;;;;;;;;1G;1G;1G;1G;1G;;;;;;1G;1S;1S;;;;;2G;2G;1G;;;;;;;1S;1S;1S;1S;1S;1S;;;;;;2G;2G;2G;2G;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mirror;brit;0.2;;;;;;;;;1G;1G;1G;1G;1G;1S;1S;1S;1S;1S;;;;;;;;;;;;;1G;1G;1G;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;1S;1S;1S;;;;;1S;1S;;;1S;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mimir;brit;0.35;;;;;;;;;;;;;;;;;;;;;;;;;1S;;;;;1S;1S;1S;;;2G;2G;2G;2G;2G;3H;3H;3H;3H;3H;3H;1S;1S;1S;1S;1S;;;;;;;;1G;1G;1S;1S;1G;1G;;;1G;1S;1G;;;;;;1S;1S;;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
In Camera;brit;0.35;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;1S;1S;;;;1G;;;;;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colin Potter;brit;0.2;;;;;;;;;;;;;;;;;;;;;;;;1S;1G;;;;;1G;1S;1S;;;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;1S;1S;;;;1S;;1S;;1S;;;;;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Darren Tate;brit;0.2;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;1S;;;;;;;1G;1G;1S;;;;;;;;;;;;;;;;;;1G;1G;1G;1G;2G;2G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ora;brit;0.1;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;1S;1S;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monos;brit;0.2;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;1S;;;;;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1G;1G;1G;1G;1G;1G;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brian Eno;luminous;0.4;;;;;;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;;;;;;;1G;1G;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;1G;1G;1G;2G;2G;1S;1S;1G;1G;;;1G;1S;1G;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stars of the Lid;luminous;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;2G;2G;2G;;;;;;;;;;;;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tim Hecker;luminous;0.3;;;;;;;;;;;;;;;;;;;;;;;;;1S;;;;;1S;1G;1G;;;1G;1G;1G;1G;1G;2G;2G;2G;2G;2G;2G;1S;1S;1S;1S;1S;1S;1S;1S;1S;1G;1G;1G;;;1S;1S;1S;1S;;;1S;1S;1S;;;;;;1S;1S;;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael Stearns;space;0.55;1S;1S;1S;;1S;;;;1S;1S;1S;1S;1S;;;;;;;;;;1S;;;;;1S;;;;;1S;2G;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;2G;2G;1G;1G;;;1G;2G;1G;;;;;;2G;2G;;;2G;;1S;1S;1S;1S;1S;1S;1S;;;;;;;;1S;1S;1S;1S;1S;;;;;;;1S;;
Martin Stürtzer;space;0.7;;;;;;;;;;;;;;;;;;;1S;1S;1S;;1G;;;;1S;2G;1S;;;;;1S;1S;1S;1S;1S;1S;;;;;;;1G;1G;1G;1G;1G;;;;;;;;;;3H;3H;1G;1G;;;1G;3H;1G;;;;;;3H;3H;;;3H;;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;2G;1G;1G;2G;2G;2G;2G;2G;;;;;;;2G;1G;1G
Phelios;space;0.55;;;;;;;;;;;;;;;;;;;;;;;1G;;;1S;1S;1G;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G;2G;;;;1G;;2G;;1G;;;;;2G;2G;;;2G;1G;1S;1S;1S;1S;1S;1S;1S;;;;;;;;2G;2G;2G;2G;2G;1G;1G;1G;1G;1G;1G;2G;;
Ian Boddy;space;0.7;;;;;;;;;;;;;;;;;;;;;;;1S;;;;1S;;;;1S;1S;;1S;;;;;;;;;;;;;;;;;;;;;;;;1G;1G;3H;3H;2G;2G;1S;;2G;3H;2G;;;;;;3H;3H;;;3H;;;;;;;;;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;;
Jeff Greinke;space;0.55;1S;1S;1S;;1S;;;;;;;;;1S;1S;1S;1S;1S;;;;;;;;;;;;;1S;1S;;1G;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;1G;1G;1G;1G;1G;2G;2G;2G;2G;;;2G;2G;2G;;;;;;2G;2G;;;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tholen;space;0.55;;;;;;;;;;;;;;;;;;;1S;1S;1S;;1G;;1S;1S;2G;2G;1G;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;;;;;;1S;;;;;;;1S;1S;;;1S;;;;;;;;;;;;;;;;1G;1G;1G;1G;1G;;;;;;;1G;1G;1G
S.E.T.I.;space;0.6;;;;;;;;;;;;;;;;;;;;;;;2G;;1G;;1G;3H;2G;2G;;;;;;;;;;;;;;;;1G;1G;1G;1G;1G;;;;;;;;;;;;;;;1S;;;;1S;;;;;;;;;;1S;1G;1G;1G;1G;1G;1G;1G;;;;;;2G;2G;3H;3H;3H;3H;3H;1G;1G;1G;1G;1G;1G;3H;2G;2G
Bad Sector;space;0.55;;;;;;;;;;;;;;;;;;;;;;;1G;;2G;2G;2G;1G;1G;2G;;;;;1S;1S;1S;1S;1S;;;;;;;1S;1S;1S;1S;1S;;;;;;;;;;1S;1S;;;;1G;;1S;;1G;;;;;1S;1S;;;1S;1G;;;;;;;;;;;;;1G;1G;1G;1G;1G;1G;1G;;;;;;;1G;;
